method,subgraph_nodes,subgraph_edges,sampling_size,trial,trial_seed,centrality_total_runtime_sec,centrality_compute_runtime_sec,centrality_validation_runtime_sec,centrality_brandes_k,centrality_top_k,baseline_aspl,brute_total_runtime_sec,brute_num_edges_tested,brute_avg_runtime_per_edge_sec,brute_min_runtime_per_edge_sec,brute_max_runtime_per_edge_sec,brute_max_delta_aspl,brute_max_delta_edge
centrality,400,4280,50,0,311111475,0.5989216250018217,0.22982299999785027,0.36618937499952153,400.0,50.0,1.951328320802005,,,,,,,
bruteforce_all_edges,400,4280,50,0,311111475,,,,,,1.951328320802005,10.08203016599873,4280.0,0.002354056006474098,0.002137832998414524,0.009162916001514532,0.02205513784461166,"['1354', '107']"
centrality,400,4280,100,0,311111475,0.9689109579994692,0.22979712499727611,0.7338177080018795,400.0,50.0,1.9497744360902256,,,,,,,
bruteforce_all_edges,400,4280,100,0,311111475,,,,,,1.9497744360902256,20.105427792001137,4280.0,0.00469536241802263,0.004222249997837935,0.018026375000772532,0.012456140350877165,"['0', '107']"
centrality,400,4407,10,1,404285457,0.292792708001798,0.23222154199902434,0.059575084000243805,400.0,50.0,1.9676691729323308,,,,,,,
bruteforce_all_edges,400,4407,10,1,404285457,,,,,,1.9676691729323308,1.8106785000018135,4407.0,0.0004098550392845582,0.00037670900201192126,0.001786957996955607,0.09974937343358392,"['1061', '107']"
centrality,400,4407,30,1,404285457,0.4342771250012447,0.23423216700030025,0.1980512500012992,400.0,50.0,1.948705096073517,,,,,,,
bruteforce_all_edges,400,4407,30,1,404285457,,,,,,1.948705096073517,6.106796832998953,4407.0,0.0013844251534147185,0.0012301659990043845,0.005492541000421625,0.03391812865497079,"['1654', '107']"
centrality,400,4407,50,1,404285457,0.5712519579974469,0.23484649999954854,0.3332987920002779,400.0,50.0,1.9377944862155387,,,,,,,
bruteforce_all_edges,400,4407,50,1,404285457,,,,,,1.9377944862155387,10.794542208001076,4407.0,0.0024478316421610957,0.0022016250004526228,0.009230083000147715,0.022406015037594207,"['1387', '107']"
centrality,400,4407,100,1,404285457,0.9066056669980753,0.2385996660013916,0.6625308329967083,400.0,50.0,1.9382456140350877,,,,,,,
bruteforce_all_edges,400,4407,100,1,404285457,,,,,,1.9382456140350877,20.931801458002155,4407.0,0.0047475405091897665,0.0043426250012998935,0.018214209001598647,0.012456140350877165,"['1208', '107']"
centrality,800,8824,10,0,1570621944,0.6252678339988051,0.4889063329974306,0.13334904099974665,400.0,50.0,2.5707133917396745,,,,,,,
bruteforce_all_edges,800,8824,10,0,1570621944,,,,,,2.5707133917396745,17.177609709000535,8824.0,0.0019454138949322895,0.0016194580020965077,0.004852124999160878,0.4085106382978725,"['0', '107']"
centrality,800,8824,30,0,1570621944,0.8777535000008356,0.49218350000228384,0.37870766700143577,400.0,50.0,2.522403003754693,,,,,,,
bruteforce_all_edges,800,8824,30,0,1570621944,,,,,,2.522403003754693,53.417075084002136,8824.0,0.006051800896536092,0.005274416998872766,0.011781709003116703,0.3952440550688361,"['0', '107']"
centrality,800,8824,50,0,1570621944,1.1991345829992497,0.49850954100111267,0.6892447499994887,400.0,50.0,2.625982478097622,,,,,,,
bruteforce_all_edges,800,8824,50,0,1570621944,,,,,,2.625982478097622,92.82764375000261,8824.0,0.010517389099969162,0.008863708000717452,0.019634832999145146,0.343404255319149,"['0', '107']"
centrality,800,8824,100,0,1570621944,1.831836375000421,0.49057045800145715,1.32023691699942,400.0,50.0,2.6254443053817274,,,,,,,
bruteforce_all_edges,800,8824,100,0,1570621944,,,,,,2.6254443053817274,186.39502108300076,8824.0,0.021119814524583527,0.017581833999429364,0.040440500000840984,0.339624530663329,"['0', '107']"
centrality,800,18081,10,1,249103477,1.143525833998865,0.8914427080017049,0.2456181249981455,400.0,50.0,2.42090112640801,,,,,,,
bruteforce_all_edges,800,18081,10,1,249103477,,,,,,2.42090112640801,75.92443483399984,18081.0,0.004197683715710249,0.0035481249979056884,0.09216616699995939,0.09599499374217757,"['414', '615']"
centrality,800,18081,30,1,249103477,1.8367994580003142,1.0508707499975571,0.7713866670019343,400.0,50.0,2.4715060492282017,,,,,,,
bruteforce_all_edges,800,18081,30,1,249103477,,,,,,2.4715060492282017,178.2204912499983,18081.0,0.009854609717951731,0.008949999999458669,0.2598274579977442,0.05686274509803946,"['414', '107']"
centrality,800,18081,50,1,249103477,2.1110401670011925,0.9024837920005666,1.1860906250003609,400.0,50.0,2.4092866082603255,,,,,,,
bruteforce_all_edges,800,18081,50,1,249103477,,,,,,2.4092866082603255,353.1638158329988,18081.0,0.01952888900708222,0.018313874999876134,0.12935325000216835,0.05103879849812243,"['414', '107']"
centrality,800,18081,100,1,249103477,3.463739833998261,0.9122211249996326,2.507410792000883,400.0,50.0,2.414055068836045,,,,,,,
bruteforce_all_edges,800,18081,100,1,249103477,,,,,,2.414055068836045,732.754217791,18081.0,0.040522031058412025,0.03867849999733153,0.17074666600092314,0.06314142678347912,"['414', '107']"
centrality,1200,30484,10,0,922121676,1.9787443749992235,1.412556000002951,0.5523357919992122,400.0,50.0,2.0589658048373645,,,,,,,
centrality,1200,30484,30,0,922121676,3.0737810419996094,1.4096027920022607,1.6279266670026118,400.0,50.0,2.0960522657770366,,,,,,,
centrality,1200,30484,50,0,922121676,4.167290749999665,1.4251412500016158,2.6853704580025806,400.0,50.0,2.178465387823186,,,,,,,
centrality,1200,30484,100,0,922121676,6.920461207999324,1.4101934999998775,5.400679165999463,400.0,50.0,2.154203502919099,,,,,,,
centrality,1200,14348,10,1,161042648,1.1245586250006454,0.8876662920010858,0.23065625000162981,400.0,50.0,3.071976647206005,,,,,,,
centrality,1200,14348,30,1,161042648,1.6738622499979101,0.8914103749993956,0.7660453750031593,400.0,50.0,3.186266333055324,,,,,,,
centrality,1200,14348,50,1,161042648,2.1436069999981555,0.8928708339990408,1.2251695829982054,400.0,50.0,3.168090075062552,,,,,,,
centrality,1200,14348,100,1,161042648,3.4170049999993353,0.88925508399916,2.47674333300165,400.0,50.0,3.14139282735613,,,,,,,
